Date,PS,T2M,T2MDEW,QV2M,PRECTOTCORR,WS50M,PS_Pa,T_K,Air_Density,WS50M_Cubed,Power
2020-06-28,97.92,27.92,23.5,18.62,7.87,4.28,9792.0,301.07,0.11332403394212212,78.402752,72349.94452092562
2020-06-29,97.85,27.36,23.54,18.67,20.94,3.5,9785.0,300.51,0.11345405029800096,42.875,39610.37990016252
2020-06-30,97.82,28.5,22.9,17.99,5.85,3.09,9782.0,301.65,0.11299063051012695,29.503628999999997,27145.805951463066
2020-07-01,97.93,28.12,22.9,17.96,2.41,3.94,9793.0,301.27,0.11326036850503601,61.162983999999994,56409.40328890266
2020-07-02,97.96,27.55,21.34,16.32,2.86,6.18,9796.0,300.7,0.11350982434713891,236.02903199999997,218164.33107068454
2020-07-03,97.91,27.69,21.65,16.64,10.98,7.05,9791.0,300.84,0.11339909113946689,350.402625,323565.1913348541
2020-07-04,97.86,28.4,21.48,16.48,2.69,7.46,9786.0,301.54999999999995,0.11307431926914197,415.160936,382265.70252933935
2020-07-05,97.92,27.76,21.07,16.05,0.02,6.68,9792.0,300.90999999999997,0.11338429064821612,298.07763199999994,275211.8595047697
2020-07-06,97.89,28.25,21.42,16.43,0.12,6.01,9789.0,301.4,0.11316527517346461,217.08180099999998,200042.12978510483
2020-07-07,97.97,29.3,21.66,16.65,1.45,6.07,9797.0,302.45,0.1128645677029002,223.64854300000002,205545.7803570764
2020-07-08,98.14,27.36,22.55,17.53,5.99,3.32,9814.0,300.51,0.1137902963336312,36.594367999999996,33908.169810906125
2020-07-09,98.07,25.96,23.06,18.08,56.37,4.37,9807.0,299.10999999999996,0.11424135504435518,83.45345300000001,77634.10069303293
2020-07-10,98.11,27.36,22.85,17.85,11.31,4.28,9811.0,300.51,0.1137555122609798,78.402752,72625.4150574517
2020-07-11,98.12,26.14,22.57,17.56,5.67,4.2,9812.0,299.28999999999996,0.11423085739618608,74.08800000000001,68915.383559373
2020-07-12,97.99,27.63,23.39,18.47,13.1,3.63,9799.0,300.78,0.11351438640487116,47.832147,44213.57689745662
2020-07-13,97.93,27.05,23.67,18.8,12.22,3.51,9793.0,300.2,0.11366406135746901,43.24355099999999,40024.82015414175
2020-07-14,97.94,26.56,23.41,18.48,1.34,3.85,9794.0,299.71,0.11386151793423539,57.066625,52910.763409988045
2020-07-15,97.87,26.37,23.25,18.33,1.66,4.99,9787.0,299.52,0.11385231469072933,124.25149900000001,115193.6053960961
2020-07-16,97.85,26.17,22.86,17.91,5.05,4.37,9785.0,299.32,0.11390510709291816,83.45345300000001,77405.5993126917
2020-07-17,97.87,26.7,22.66,17.68,1.87,5.21,9787.0,299.84999999999997,0.1137270144944714,141.420761,130966.93931213
2020-07-18,98.01,27.03,22.7,17.71,6.55,2.94,9801.0,300.17999999999995,0.1137644939168903,25.412184,23541.47120982653
2020-07-19,98.06,26.6,23.25,18.29,8.66,3.03,9806.0,299.75,0.11398581279986517,27.818126999999993,25820.43507140648
2020-07-20,97.97,26.74,23.75,18.87,4.07,4.67,9797.0,299.89,0.11382803195085586,101.847563,94402.77021473814
2020-07-21,98.04,26.72,23.28,18.32,0.01,4.26,9804.0,299.87,0.11391695983474372,77.308776,71713.68733481776
2020-07-22,98.13,26.6,23.69,18.76,0.03,4.51,9813.0,299.75,0.11406718142005678,91.73385099999999,85206.98648086008
2020-07-23,98.06,26.12,23.49,18.55,10.04,4.42,9806.0,299.27,0.11416863496761982,86.350888,80278.35902740611
2020-07-24,98.1,26.5,23.63,18.7,18.9,3.91,9810.0,299.65,0.11407036432167379,59.77647100000001,55524.92373348619
2020-07-25,98.2,26.84,22.54,17.51,8.35,3.25,9820.0,299.98999999999995,0.11405722815615342,34.328125,31882.896246686218
2020-07-26,98.29,26.84,22.64,17.58,2.67,4.33,9829.0,299.98999999999995,0.11416176125731486,81.182737,75469.10841216223
2020-07-27,98.13,27.26,22.38,17.35,1.79,4.89,9813.0,300.40999999999997,0.1138165761148498,116.93016899999998,108371.96899542511
2020-07-28,97.98,26.45,23.19,18.24,3.59,4.3,9798.0,299.59999999999997,0.11394984253104024,79.50699999999999,73774.10780040982
